dataset,variant,model,mode,auroc_mean,auroc_std,auprc_mean,auprc_std,precision_mean,precision_std,recall_mean,recall_std,specificity_mean,specificity_std,f1_mean,f1_std
sisfall,native_2s,cnn1d_ae_large,tsad,0.9478143185765209,0.01550083033048357,0.40271675758083775,0.10545735396363268,0.31732950507661034,0.09642023635674124,0.6319205242792557,0.21478674392833827,0.9356440077609,0.03568792679529329,0.3938092717342191,0.050565056860827955
sisfall,20hz_2s,cnn1d_ae_large,tsad,0.9603661302424229,0.012148477866158618,0.41592758985711276,0.09448424876108698,0.3553462002799223,0.03367764267622921,0.6851647081407763,0.15821387188711952,0.9518760767587212,0.010159077084246487,0.464050131643138,0.058138141654955434
sisfall,native_2s,lstm_ae,tsad,0.9575822120984674,0.006848272321782391,0.4185713512681605,0.07237435186763116,0.3844684121051599,0.04611102960640101,0.5915471017555805,0.08534934819831866,0.9607333519144717,0.012326865071615815,0.4609363221970953,0.023707941245316062
sisfall,20hz_2s,lstm_ae,tsad,0.9561113234706724,0.007610178728795691,0.35535417624651117,0.09726357692907525,0.3266756167169268,0.02963210954422191,0.7252684980502455,0.0948015791889032,0.9418115602930431,0.008342325825607488,0.44949985537886883,0.04157753063793446
fallalld,native_2s,random_forest,classification,0.9872949706396887,0.01613957446433914,0.882547360732913,0.09967214742092675,0.8770501092999183,0.08597367768504591,0.7565680360571359,0.1596260233298129,0.9982344633274769,0.0016000043935106704,0.8002919678793209,0.07039096715048222
fallalld,20hz_2s,random_forest,classification,0.9815555317609046,0.020017571072162607,0.8544292285546777,0.08822392498454297,0.8480466362149095,0.07395411963720248,0.7502831342659718,0.07086675038301857,0.9979064271631992,0.0013207338261768294,0.7941622349535136,0.05897899161462723
fallalld,native_2s,xgboost,classification,0.9944027591358333,0.005687211944925181,0.8912715671488554,0.0885598001283351,0.8739959879190925,0.060529906411890044,0.7855721528524807,0.12173241641001405,0.9982731969852073,0.0009653785233660812,0.8221866756235295,0.06295211800392793
fallalld,20hz_2s,xgboost,classification,0.9926470400952926,0.007096546534722952,0.8655844448477821,0.07398252858275567,0.8454631539596393,0.0582576795670617,0.7891394497086326,0.0862814487501325,0.9978331652871659,0.0010327851228358546,0.8153415664462255,0.06767218917325896
fallalld,native_2s,cnn1d_large,classification,0.982045559994327,0.02132321065043044,0.7417952819896706,0.08591304860484625,0.7127333933123406,0.09010896681769613,0.6958818429807959,0.1412957388449773,0.9955802187001366,0.0025421686327514337,0.6894158436164334,0.046820802642255965
fallalld,20hz_2s,cnn1d_large,classification,0.9838233850757716,0.015284948200887294,0.7183061884353055,0.1588740589514148,0.74364851677662,0.12238720174250474,0.6865067402916203,0.1500030715959343,0.9965164724736282,0.0016124687592164674,0.7025670386939475,0.10458356303147086
fallalld,native_2s,lstm_classifier,classification,0.872578820410461,0.05821923015215533,0.10359503851708204,0.04600297949607127,0.12184164595982334,0.05317379158069056,0.2720402874040587,0.1055231754231232,0.9640584000256192,0.029620205877806883,0.1583832877594508,0.06273520399283743
fallalld,20hz_2s,lstm_classifier,classification,0.9492865355838301,0.025575354183159368,0.6406656914031694,0.08745091652982676,0.7122489188470923,0.12072406738115746,0.5680076072348087,0.11260047615948908,0.9964770281211723,0.0020047092723658316,0.6233473254141628,0.09294185208954737
fallalld,native_2s,isolation_forest,tsad,0.9670368453257427,0.014737336103834561,0.24681497287412446,0.07261399645867699,0.22950767332647987,0.08524150500098006,0.5952827062823114,0.3108374795257767,0.9694176109062328,0.016468062702123563,0.31209841579281494,0.09508271854850066
fallalld,20hz_2s,isolation_forest,tsad,0.9619660013572326,0.0193052419868003,0.23335628993024266,0.06445600988933219,0.23170378690378693,0.05746643466938688,0.5820027285759888,0.3165479884644263,0.9728549172638405,0.011355174349823189,0.32077881679978854,0.10680977294663148
fallalld,native_2s,cnn1d_ae_large,tsad,0.9658981955623386,0.013087785478746615,0.3028336180290556,0.12197670538138922,0.2631788889067833,0.05998125394037509,0.5115583454749293,0.24841083720153997,0.9808001298316522,0.004324770029275436,0.34050360677327374,0.1109191239545903
fallalld,20hz_2s,cnn1d_ae_large,tsad,0.956818423753171,0.015736779804133044,0.22088066748377816,0.07933081488150144,0.2101897391801713,0.07509731141096158,0.5642389071198867,0.11920377893819302,0.9662754976887884,0.013404095734012278,0.30510914455364035,0.09679949180519844
fallalld,native_2s,lstm_ae,tsad,0.9659677709542045,0.015370241503270888,0.2742425703706738,0.08701242950081331,0.28308634288086343,0.11370399558420145,0.5194029512021314,0.25604667655080426,0.979916319822931,0.010216288155752973,0.35588629568620517,0.14034723186271056
fallalld,20hz_2s,lstm_ae,tsad,0.9650807800538292,0.018347744900134494,0.29752679720983866,0.11695106832610225,0.2765658541553957,0.179602118267841,0.5408871655567762,0.2269008436131825,0.9714400755198666,0.019626334291543698,0.3433103099410356,0.17721659980264762
umafall,native_2s,random_forest,classification,0.9976193492438938,0.002471262139504734,0.958444716845152,0.024386085379906986,0.8734855494507767,0.13457535200345058,0.884447229372264,0.1254201529249994,0.9941779750370735,0.007660138082447766,0.8663342318059299,0.07381002569530172
umafall,20hz_2s,random_forest,classification,0.9976193492438938,0.002471262139504734,0.958444716845152,0.024386085379906986,0.8734855494507767,0.13457535200345058,0.884447229372264,0.1254201529249994,0.9941779750370735,0.007660138082447766,0.8663342318059299,0.07381002569530172
umafall,native_2s,xgboost,classification,0.998460233449596,0.001356774257554243,0.9691454910904188,0.021673557401718623,0.915015794842931,0.04002359365495123,0.9111934236657211,0.08585832225469664,0.996949270655942,0.0016601313933989916,0.9098159392961092,0.03170259306676604
umafall,20hz_2s,xgboost,classification,0.998460233449596,0.001356774257554243,0.9691454910904188,0.021673557401718623,0.915015794842931,0.04002359365495123,0.9111934236657211,0.08585832225469664,0.996949270655942,0.0016601313933989916,0.9098159392961092,0.03170259306676604
umafall,native_2s,cnn1d_large,classification,0.9975635618880743,0.0021561685133114007,0.9376752098523582,0.049086768256630275,0.8352372215330888,0.1560554979508839,0.878815470953526,0.12134460831194989,0.9924173518141576,0.007668842119901957,0.8406605394720801,0.06995863649130078
umafall,20hz_2s,cnn1d_large,classification,0.995552974112978,0.0021370193875656146,0.8745711872384909,0.054075149699733475,0.7457575327690371,0.16301306697885157,0.8673441635977586,0.115446791916474,0.9877340668106516,0.010306920359694563,0.7845451815616686,0.072072796588416
umafall,native_2s,lstm_classifier,classification,0.9687806142257536,0.027802400660337765,0.7168142309590761,0.1553238276985807,0.7084121262059258,0.10827312349579546,0.8122721760730338,0.18091886784802658,0.9876924735027138,0.007141303252242496,0.7443148973980378,0.1177626518016533
umafall,20hz_2s,lstm_classifier,classification,0.9691503342619049,0.04221243839362533,0.7246925556553725,0.11029374400366723,0.7015981291134561,0.1125485347231159,0.8251366700696032,0.18760638024917348,0.986251114036096,0.009073261230061797,0.7395195282366134,0.09498774234764978
