dataset,variant,model,mode,auroc_mean,auroc_std,auprc_mean,auprc_std,precision_mean,precision_std,recall_mean,recall_std,specificity_mean,specificity_std,f1_mean,f1_std
umafall,20hz_5s,xgboost,classification,0.9995174593014082,0.0005031254053430459,0.9959710609709453,0.00409317876674291,0.9574324238739423,0.035578544339184226,0.9541350033731749,0.0464911377418422,0.9947443069324129,0.005460723507079735,0.9546636157978543,0.020030916468603274
umafall,20hz_5s,lstm_classifier,classification,0.8766153653617706,0.011634054337276222,0.3640193788184574,0.05176115141132671,0.3180768901492639,0.012409226464041412,0.6953715565323115,0.2766799339162588,0.8129175837655881,0.10755909606293867,0.42225460153537436,0.05503173540385582
umafall,20hz_5s,isolation_forest,tsad,0.9454321696558077,0.0191823531712999,0.6120708883083636,0.1512837952281998,0.4681000568403208,0.033095879434123884,0.8544461434841827,0.13134746867529828,0.8861360283003649,0.02110004700655483,0.6014862875378146,0.04018447477493022
umafall,20hz_5s,lstm_ae,tsad,0.9093676790199814,0.027103662203261773,0.456489192397297,0.13064474183099176,0.4186166387428683,0.07187153172052657,0.7220518879987721,0.19160188384581617,0.8785471206948022,0.04397161481812836,0.51884626725184,0.07804776520215338
upfall,20hz_2s,random_forest,classification,0.9974336362661497,0.003303322451370061,0.9538674425884374,0.025172855198205144,0.8223498483692028,0.17998845493459525,0.9204745007713981,0.05427291522283741,0.9928024295175991,0.010298078724574389,0.8561968048904232,0.11021810728777788
upfall,20hz_2s,xgboost,classification,0.9985856494759201,0.001795802175296473,0.9703706770242146,0.017438348179929473,0.8917093357384326,0.061581694923195054,0.9434227786741086,0.061840707911201886,0.9967925580761617,0.002280082072592489,0.9141104957380911,0.029860087296497886
upfall,20hz_2s,cnn1d,classification,0.9918276272467059,0.004119793960766548,0.7338774788535484,0.04565794241817831,0.6379167498003732,0.20045629334060217,0.777900558666758,0.10419924860304003,0.9834698120690935,0.018102942663914073,0.6758352230835001,0.12355312895312547
upfall,20hz_2s,lstm_classifier,classification,0.8393694274123928,0.09846312395438028,0.39932372228820856,0.22133351681283323,0.4931912929228366,0.20574736522375398,0.49884476622376167,0.24296054452005533,0.986380700543676,0.006592217978901842,0.4869673591736835,0.20433422950206698
upfall,20hz_2s,isolation_forest,tsad,0.9333494704997586,0.02115687031759628,0.1657999910157019,0.06181587110270756,0.201626976420826,0.03670275389143768,0.9534456974042398,0.03998043361860794,0.8974178712086353,0.021793916715701026,0.33153638149344145,0.04981810413837253
upfall,20hz_2s,lstm_ae,tsad,0.9185701708254543,0.0063986118587171575,0.1287343494139796,0.008117060993141802,0.19202104140316179,0.00994805510824587,0.9411581771329732,0.06891275246561228,0.8955047490327777,0.00560869784068284,0.3187960053617436,0.015806026650583598
upfall,20hz_3s,random_forest,classification,0.9986647866163908,0.0011161002950052055,0.9736029460541339,0.021850098472072508,0.9460318161045359,0.02007057703223225,0.9461592965382248,0.039484032069245105,0.9977639772407592,0.0007435354519111494,0.9459832144618018,0.029091708197382205
upfall,20hz_3s,xgboost,classification,0.9987827923391656,0.0010732542949883224,0.9759667034588313,0.018562124704268802,0.9100490065163978,0.06973221166446829,0.9404104772744855,0.02361704357768337,0.9958341454605775,0.0037880965620917923,0.9234243515217517,0.033740301417433616
upfall,20hz_3s,lstm_classifier,classification,0.6836445709582742,0.13751977554976125,0.2368507261213059,0.13867136669446906,0.10629312289706797,0.07801747045333383,0.4413405134139373,0.21462179254878183,0.7474300400721925,0.16788290714505447,0.15476209827096582,0.09566638858270124
upfall,20hz_3s,isolation_forest,tsad,0.9364166952243316,0.023741063568874687,0.25319764589598864,0.08700665936494177,0.30300599078161483,0.07191960816410847,0.8824391099560192,0.05146258350287978,0.9096774160503669,0.02762408674953333,0.44623732153668333,0.07564247476321732
upfall,20hz_3s,lstm_ae,tsad,0.9196789064541658,0.007685088173000687,0.19403874914580488,0.023944070556112453,0.2620738529584183,0.03292894515439141,0.9497313560009356,0.030554189900284596,0.8858187268488813,0.019198725069362897,0.40949668139282025,0.040010246159012594
upfall,20hz_5s,random_forest,classification,0.9991872055264102,0.0011474801163416108,0.9822879607451316,0.029128375372694918,0.9412379509474562,0.05674114555093788,0.9620551946936111,0.03373379755017161,0.9968640554667647,0.002975176849649654,0.9508131632099481,0.036306078940859424
upfall,20hz_5s,xgboost,classification,0.9995251433764402,0.0007777499676313168,0.9883584458257605,0.020680918894579924,0.9672427461550658,0.03345840627848157,0.9603945423926866,0.0426334280820369,0.9983488237145937,0.0016912761533855734,0.9632113849642515,0.028030383356714553
upfall,20hz_5s,lstm_classifier,classification,0.6879176586629332,0.08599322801480196,0.17509660544899405,0.09325501175285779,0.21772131478120588,0.17341342850531,0.34622003145750935,0.17012580299184257,0.8843772748565366,0.08683336803288437,0.2070994065058656,0.12880931851204505
upfall,20hz_5s,isolation_forest,tsad,0.9297089286461103,0.015055554180539306,0.25467512023797506,0.06311145317225857,0.30133052119695025,0.035232400548779866,0.9585133511607177,0.05151569634000274,0.8892353850630489,0.021717965066926907,0.4571420874536244,0.04111347379622758
upfall,20hz_5s,lstm_ae,tsad,0.9072580717646355,0.005626056991929186,0.19556942268076397,0.020297340212968924,0.29015823344333375,0.047616294560424106,0.9627985337378497,0.03412624663890155,0.8810210983645792,0.029743979410899447,0.44400245379317294,0.057625045123003836
