dataset,variant,model,mode,auroc_mean,auroc_std,auprc_mean,auprc_std,precision_mean,precision_std,recall_mean,recall_std,specificity_mean,specificity_std,f1_mean,f1_std
umafall,easy_adl_20hz_2s,random_forest,classification,0.9755159019885011,0.004572486996584187,0.4600354100254546,0.056369677259052495,0.4939356249057741,0.09016203021929922,0.8389098199287621,0.1362027286309627,0.9681332907074299,0.01352990482745608,0.6090552053828054,0.03555108827858918
umafall,20hz_2s,xgboost,classification,0.998460233449596,0.001356774257554243,0.9691454910904188,0.021673557401718623,0.915015794842931,0.04002359365495123,0.9111934236657211,0.08585832225469664,0.996949270655942,0.0016601313933989916,0.9098159392961092,0.03170259306676604
umafall,easy_adl_20hz_2s,xgboost,classification,0.9820695176764886,0.006427591961750503,0.5944155438205028,0.035074207020190054,0.6176561098657932,0.1186302525752518,0.7708814174864921,0.23658724516287483,0.980953841663009,0.011718062946014542,0.652353867729061,0.11291931569754765
umafall,20hz_2s,isolation_forest,tsad,0.968799619156815,0.012103115419271764,0.4534435776695598,0.16192756255445437,0.38011648931508624,0.17657356340854932,0.7372839859865549,0.2759751406506309,0.9457762747257015,0.02868496423626867,0.4379091365205875,0.04733422738997396
umafall,easy_adl_20hz_2s,isolation_forest,tsad,0.9649091177859581,0.016027871528931228,0.42474167807306695,0.1485191813071908,0.37283073444004994,0.23515096635204655,0.7132560358478317,0.3510829557190881,0.939534015376935,0.03262757341709801,0.3975752979655053,0.10195835648173679
upfall,20hz_2s,random_forest,classification,0.9974336362661497,0.003303322451370061,0.9538674425884374,0.025172855198205144,0.8223498483692028,0.17998845493459525,0.9204745007713981,0.05427291522283741,0.9928024295175991,0.010298078724574389,0.8561968048904232,0.11021810728777788
upfall,easy_adl_20hz_2s,random_forest,classification,0.9536296818737371,0.006397396465799621,0.22731204548218117,0.029259722378681543,0.2405944055944056,0.02556401340050421,0.8351989646859485,0.07535966091767159,0.9293451997552206,0.013041084001971076,0.372050454052329,0.027808763610986074
upfall,20hz_2s,xgboost,classification,0.9985856494759201,0.001795802175296473,0.9703706770242146,0.017438348179929473,0.8917093357384326,0.061581694923195054,0.9434227786741086,0.061840707911201886,0.9967925580761617,0.002280082072592489,0.9141104957380911,0.029860087296497886
upfall,easy_adl_20hz_2s,xgboost,classification,0.9475126114992747,0.013376503887965017,0.2239131909948854,0.07442937285706187,0.2023375310818683,0.04840498674800581,0.7966161727849034,0.2527545868410959,0.9150918322505992,0.02825377785669949,0.3170605453464618,0.06504463235693698
upfall,20hz_2s,isolation_forest,tsad,0.9333494704997586,0.02115687031759628,0.1657999910157019,0.06181587110270756,0.201626976420826,0.03670275389143768,0.9534456974042398,0.03998043361860794,0.8974178712086353,0.021793916715701026,0.33153638149344145,0.04981810413837253
upfall,easy_adl_20hz_2s,isolation_forest,tsad,0.9255566396604445,0.008700501567583101,0.14046407232271244,0.015921414020551236,0.18570687064179586,0.022167388053597893,0.9691285873133537,0.03737935966883265,0.8861000361596952,0.019308294843632324,0.31105632863281646,0.03154763484392302
